arm,chat_rate,code_rate,arrival,seed,throughput_rps,tokens_per_sec,completed,goodput,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score
"agg-4xtp4","100","0.5","poisson","42",4.548882803242398,1467.3640821340625,2285,0.9833698030634573,80.35490634573304,99.64979999999998,169.03739999999948,379.5721199999973,10722.495790371991,17476.282999999996,19142.8426,31790.624279999927,33.09120468343216,44.878,46.858,59.065,0,0,0,"STABLE",0
"agg-4xtp4","100","0.5","poisson","123",4.925890189504803,1524.3607928965882,2375,0.9806315789473684,85.28756547368421,116.73659999999997,208.83159999999987,396.14229999999907,10407.790154947368,17396.478799999997,19546.94119999998,33368.10053999953,33.46223436710847,44.609,45.854,58.926,0,0,0,"STABLE",0
"agg-4xtp4","100","0.5","poisson","777",4.949388309241053,1520.2205506908226,2330,0.9849785407725322,84.2616721030043,112.84379999999999,199.1739499999999,411.55306000000024,10074.671059656652,17074.216299999996,19070.80825,28235.37950000003,32.62951937583499,43.679,45.035,52.364,0,0,0,"STABLE",0
"agg-4xtp4","100","0.5","weibull","42",4.569352622810938,1475.2422868538563,2345,0.9795309168443497,88.33521492537314,120.8458,225.58899999999917,455.7315999999994,11059.804414925373,17861.237999999998,19869.7944,32461.087679999982,34.08573042403332,45.43,46.469,52.113,0,0,0,"STABLE",0
"agg-4xtp4","100","0.5","weibull","123",4.9658528339584525,1533.5883690415656,2240,0.9741071428571428,85.73563348214286,97.06110000000002,202.3795499999965,664.3404500000026,9870.314020982143,16486.36670000001,18198.084099999975,27586.795070000022,31.783463433169164,43.409,45.333,54.943,0,0,0,"STABLE",0
"agg-4xtp4","100","0.5","weibull","777",5.6277029449536915,1663.0517208144104,2105,0.9942992874109263,69.01130356294537,83.9,95.68359999999998,291.19380000000007,9134.357190973873,15392.442400000002,17079.0378,20365.178240000005,30.77830444860609,41.646,44.629,46.782,0,0,0,"STABLE",0
"agg-4xtp4","100","1","poisson","42",4.127957354389152,1369.7524657336787,2660,0.9169172932330827,109.81746503759398,199.93429999999992,315.3418999999989,611.1146799999981,12546.295298120302,20147.4076,23340.256649999996,58145.70869999993,37.59015922453664,49.623,52.83,63.066,0,0,0,"STABLE",0
"agg-4xtp4","100","1","poisson","123",4.830106967952886,1547.2957865418991,2750,0.8778181818181818,114.37486472727272,220.71479999999997,327.0669499999997,584.6364599999999,12401.725024,21204.4339,25667.6556,49080.37775999988,38.47441367075231,51.584,55.227,63.926,0,0,0,"OVERLOADED",0.2462140352527187
"agg-4xtp4","100","1","poisson","777",4.478698548161533,1472.8513025895431,2720,0.8911764705882353,110.47258713235294,211.08359999999996,316.93214999999987,536.7294399999998,12458.629468382353,20915.400899999997,24279.80919999996,59153.975729999904,37.660871767527766,49.485,54.4,64.168,0,0,0,"STABLE",0
"agg-4xtp4","100","1","weibull","42",4.584935756763086,1561.353403022188,2960,0.7466216216216216,125.92587331081081,258.6753,368.40004999999974,605.1047299999997,14388.00888445946,24399.532399999996,30689.843249999994,81133.46454999998,42.001860420203016,59.075,66.236,75.715,0,0,0,"OVERLOADED",0.29844132060731293
"agg-4xtp4","100","1","weibull","123",5.069550375987155,1610.4477303526587,2630,0.9250950570342206,115.90375893536121,231.4617999999999,373.09484999999995,668.3174600000001,11730.802989353611,19554.5938,22809.07299999999,41351.58860000002,36.675705733606776,48.267,51.162,59.526,0,0,0,"OVERLOADED",0.16650695207713442
"agg-4xtp4","100","1","weibull","777",4.946117910373271,1492.4048627209172,2180,0.9926605504587156,73.37586055045871,88.40740000000001,124.55494999999985,344.38369000000034,9463.588319266055,15715.730600000003,17378.801199999994,21192.083400000007,31.221877616889643,42.781,45.373,55.11,0,0,0,"STABLE",0
"agg-4xtp4","100","5","poisson","42",4.823602446450055,1682.394114664635,3949,0.15250379362670713,232.93031740010116,519.7252000000003,747.929,1210.7488699999979,22771.854546214232,41180.59980000003,63964.79359999999,142201.60947999998,64.80509176291213,89.345,96.49,110.556,5,0,0,"OVERLOADED",0.5183603204567213
