arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,sat_level,sat_score,goodput_rps,slo_attainment
"pd-1p3d-thresh16","2","777",0.5354127189939548,4093.9102108619068,1000,80.003714,98.82100000000001,103.84715,126.19395999999999,382149.05105199997,987381.9686000003,1208490.1141999995,1463133.3626299999,50.03147858048179,64.414,65.112,66.34,0,0,1000,"OVERLOADED",1,0.5354127189939548,1
"pd-1p3d-thresh16","5","42",0.557047815785183,4273.527124367452,1000,76.885917,94.8377,106.25425,122.75447999999999,432119.976284,1066552.2185000002,1257851.9525999995,1518353.93389,56.3791883207648,73.69,75.269,76.192,0,0,1000,"OVERLOADED",1,0.557047815785183,1
"pd-1p3d-thresh16","5","123",0.5305639823293798,4224.614648169722,1000,76.562203,93.5736,100.37189999999995,118.74453999999999,451327.082055,1182955.4514,1364834.5631499996,1683103.76987,56.73602990994911,71.704,72.724,74.723,0,0,1000,"OVERLOADED",1,0.5305639823293798,1
"pd-1p3d-thresh16","5","777",0.5758851514730241,4403.37335715364,1000,76.98583,94.36500000000001,101.14125,123.40879,420850.32929100003,1073885.2325000002,1315577.0232999995,1552792.51479,55.094446870548715,68.668,69.296,69.917,0,0,1000,"OVERLOADED",1,0.5758851514730241,1
"pd-1p3d-thresh16","10","42",0.5691331433097555,4366.24263912147,1000,74.519535,93.6427,104.83839999999998,123.42796,446767.48403,1086474.4734,1288229.9549999996,1545117.86436,57.98296235162127,74.609,76.764,77.741,0,0,1000,"OVERLOADED",1,0.5691331433097555,1
"pd-1p3d-thresh16","10","123",0.5424581509227165,4319.321941805829,1000,74.416437,92.6147,100.24759999999999,118.94206,468064.34029900003,1201147.0373,1387192.8876,1701616.2063899995,58.49676909157046,73.373,74.293,75.534,0,0,1000,"OVERLOADED",1,0.5424581509227165,1
"pd-1p3d-thresh16","10","777",0.5911247344213266,4519.899323063757,1000,74.977453,93.2567,101.63505,124.32757,435726.950674,1090702.3960000002,1339013.4764999996,1576354.6044599998,56.70510906246607,69.041,69.659,70.3,0,0,1000,"OVERLOADED",1,0.5911247344213266,1
"pd-1p3d-thresh16","20","42",0.5736500920530566,4400.895504507301,1000,74.68242,96.281,109.62565,131.80561,455089.022163,1097591.0456,1296555.74965,1555118.41304,58.64208064969465,74.941,76.948,78.191,0,0,1000,"OVERLOADED",1,0.5736500920530566,1
"pd-1p3d-thresh16","20","123",0.5470791632762073,4356.116743428474,1000,74.03697100000001,94.9869,104.23459999999997,129.47351999999998,477721.052375,1217302.231,1397736.4636499996,1719000.6308299997,59.24632212078682,73.658,74.933,76.054,0,0,1000,"OVERLOADED",1,0.5470791632762073,1
"pd-1p3d-thresh16","20","777",0.5972083484999618,4566.416278884803,1000,74.803911,95.6059,109.2914,132.93546,445326.436006,1105619.2488,1351995.8464999998,1592656.12191,57.35443818779454,69.297,69.798,70.858,0,0,1000,"OVERLOADED",1,0.5972083484999618,1
"pd-1p3d-thresh16","50","42",0.5760284439343362,4419.141606525693,1000,90.52999000000001,149.241,172.27854999999997,215.72976999999997,460751.446849,1106070.0862,1297178.8707499998,1568301.59827,58.952054786746835,74.884,76.953,78.357,0,0,1000,"OVERLOADED",1,0.5760284439343362,1
"pd-1p3d-thresh16","50","123",0.5500265517617492,4379.585318349824,1000,82.863124,119.99900000000001,147.39754999999997,179.16210999999996,483755.89428500005,1218699.5875000001,1406458.5520999997,1736308.2769099995,59.608892311723245,73.485,75.186,76.334,0,0,1000,"OVERLOADED",1,0.5500265517617492,1
"pd-1p3d-thresh16","50","777",0.6007321136686851,4593.359938781457,1000,91.792121,154.7192,180.89744999999982,231.56063999999995,451462.92095999996,1121821.3379000002,1356592.6444999997,1595787.3639399998,57.69677038626497,69.27,70.009,71.147,0,0,1000,"OVERLOADED",1,0.6007321136686851,1
"pd-1p3d-thresh16","100","42",0.5765070417250834,4422.813285298074,1000,2555.685227,4483.9938,4775.8858,4897.69563,464124.081866,1108157.4383000003,1299988.9924499996,1572283.50129,58.98762393533767,74.826,76.949,78.431,0,0,1000,"OVERLOADED",1,0.20869554910448018,0.362
"pd-1p3d-thresh16","100","123",0.5502470408097943,4381.340961953905,1000,2211.275901,4201.689,4321.31545,4381.82918,486969.225151,1221199.9547000001,1414346.8756000001,1741560.0680499997,59.67054966866788,73.521,75.262,76.341,0,0,1000,"OVERLOADED",1,0.2602668503030327,0.473
"pd-1p3d-thresh16","100","777",0.6012276752883631,4597.149136727152,1000,2100.484858,3481.4969,3625.4254,3837.60529,454798.07892,1125414.8322,1359639.6332999999,1597928.40913,57.76235455582341,69.253,70.019,71.288,0,0,1000,"OVERLOADED",1,0.29400033321600955,0.489
"pd-1p3d-thresh16","200","42",0.5764457500220765,4422.343071165866,1000,5106.406939,8963.4362,9481.019299999998,9798.041270000002,466658.422923,1109280.7388000002,1303484.6242999998,1575408.6050200001,58.98654745838147,74.876,76.97,78.409,0,0,1000,"OVERLOADED",1,0.1135598127543491,0.197
"pd-1p3d-thresh16","200","123",0.5502415104355721,4381.296926360222,1000,4735.759728,8606.641,9003.144400000001,9247.8338,489486.1192,1224581.1755,1416812.1824999999,1745873.0281499997,59.67030155920406,73.518,75.265,76.345,0,0,1000,"OVERLOADED",1,0.11720144172277686,0.213
"pd-1p3d-thresh16","200","777",0.601272363029801,4597.490831263876,1000,4644.410686,8060.7044,8524.41225,8930.014720000001,457345.19461199996,1125872.2872000001,1360083.5838999997,1599931.30932,57.76269340284908,69.247,70.019,71.287,0,0,1000,"OVERLOADED",1,0.10221630171506617,0.17
"pd-2p2d-thresh16","0.2","42",0.17770351647338326,1363.2955308765463,1000,82.291749,93.73230000000001,110.86904999999999,121.82728,325893.807541,765998.966,976550.7542499992,1386627.84824,42.530527830293344,50.583,52.201,53.502,0,0,1000,"STABLE",0,0.17770351647338326,1
"pd-2p2d-thresh16","0.2","123",0.16839175949888407,1340.8190482263453,1000,84.008566,100.2243,110.75809999999996,124.60085,363208.68521499995,897143.8674000001,1118308.6701,1564865.0657099998,45.666193932975936,60.039,62.417,63.92,0,0,1000,"OVERLOADED",0.9503896918822266,0.16839175949888407,1
"pd-2p2d-thresh16","0.2","777",0.17241045681247927,1318.2969036115558,1000,82.05796000000001,94.4959,102.46294999999999,122.71319999999999,323195.28335900005,802361.3917,1064085.8818499998,1538173.9156499996,42.31919023827805,52.239,54.816,58.827,0,0,1000,"OVERLOADED",0.53070683445803,0.17241045681247927,1
"pd-2p2d-thresh16","0.5","42",0.23219068815324118,1774.8250117861128,932,110.43852899999999,157.0379,161.20059999999998,186.21396,686379.7094299999,1751448.7797000003,2129286.1550499992,2688303.9516,83.01324741219183,108.854,110.245,118.671,0,54002,932,"OVERLOADED",1,0.16542340872720188,0.664
"pd-2p2d-thresh16","0.5","123",0.21527038321505376,1694.7194750388267,859,100.59626300000001,156.5042,159.2647,166.59169999999995,607760.4708,1756650.7179,2106149.6992999995,2537968.23983,79.53761548040472,109.739,110.535,120.128,0,58477,859,"OVERLOADED",1,0.16640225198462827,0.664
"pd-2p2d-thresh16","0.5","777",0.22711791677607776,1753.7296765727478,913,107.49645100000001,156.1972,158.4892,178.22189999999995,655249.736681,1795165.2574,2168694.52605,2716829.2705099997,82.51261451088187,109.894,110.487,119.345,0,29504,913,"OVERLOADED",1,0.15547502517529965,0.625
"pd-2p2d-thresh16","1","42",0.23706197987489533,1792.3196910509294,866,105.357736,153.5448,158.38889999999998,179.48793999999998,808226.615403,1962941.2704,2345525.3418999994,2829103.3185300003,85.78079854024388,108.188,110.272,112.351,0,59710,866,"OVERLOADED",1,0.16068750829857223,0.587
"pd-2p2d-thresh16","1","123",0.22072669776545156,1748.978223232526,881,107.485822,156.3964,160.12645,185.96003,921613.672952,2315869.3672,2668778.0991999996,3096401.358929999,85.79729336813601,109.253,110.525,119.426,0,141639,881,"OVERLOADED",1,0.1538322275005531,0.614
