arm,rate,seed,throughput_rps,tokens_per_sec,completed,ttft_mean_ms,ttft_p90_ms,ttft_p95_ms,ttft_p99_ms,e2e_mean_ms,e2e_p90_ms,e2e_p95_ms,e2e_p99_ms,itl_mean_ms,itl_p90_ms,itl_p95_ms,itl_p99_ms,timeouts,preemptions,disagg_count,lir,sat_level,sat_score
"agg-6xtp4","5","777",0.49922771519293285,4147.63427982212,1000,65.676523,87.5396,96.81509999999997,129.63579,304463.461838,731875.0092999999,921562.1726499996,1295292.1182499998,36.64298872916075,45.933,46.74,47.999,0,0,0,"","OVERLOADED",1
"pd-default","1","42",0.34140788682303425,2582.4696851253984,1000,95.68757799999999,125.91980000000001,137.12444999999994,168.56633,471926.270141,1188965.8576,1444974.2568999997,1998898.2645499993,61.76946296814156,85.687,87.126,89.516,0,0,1000,"1.0000","OVERLOADED",1
"pd-default","1","123",0.28723660030344594,2330.550167699068,1000,95.22441099999999,126.3826,136.9585,169.1558,535693.2312469999,1390801.8302,1607979.0288,2170196.193089999,65.13219993923104,91.577,93.272,94.423,0,0,1000,"1.0000","OVERLOADED",1
"pd-default","1","777",0.3084984463112801,2563.0362502971925,1000,96.62785400000001,129.31980000000001,136.1122,165.17514999999995,553286.617057,1373398.8811,1722002.849,2213201.21057,65.32022880388718,89.37,90.415,91.169,0,0,1000,"1.0000","OVERLOADED",1
"pd-default","2","42",0.33405601173604244,2526.858800685502,1000,101.16519,142.057,151.4003,181.04943999999998,614487.770898,1461312.2311000002,1741019.78925,2329350.352319999,70.22656543936496,98.892,99.783,100.583,0,0,1000,"1.0000","OVERLOADED",1
"pd-default","2","123",0.2998513720107624,2432.902577826863,1000,101.27529799999999,147.8799,154.42989999999998,187.52009999999996,687279.562512,1603333.0346000001,2069903.8806999999,2498519.2818199997,72.61829275203863,103.754,104.968,105.805,0,2,1000,"1.0000","OVERLOADED",1
"pd-default","2","777",0.2678390925111008,2225.234232330569,1000,97.500799,145.24800000000002,154.55189999999996,192.64773999999994,637826.91136,1597272.6317,2114594.2952,2766552.28423,66.0355675552759,107.055,108.761,110.522,0,1342,1000,"1.0000","OVERLOADED",1
"pd-default","3","42",0.2926627066058304,2213.7525140655703,1000,107.266042,156.42489999999998,164.56005,202.88594999999995,765296.826784,1815985.4215000006,2224495.19735,2964331.1784,74.25582419993609,106.993,108.34,110.602,0,2093,1000,"1.0000","OVERLOADED",1
"pd-default","3","123",0.25036939118161616,2031.420877383323,1000,108.556732,156.6164,162.7697,198.89949,885405.344674,2045257.8167,2525642.6636,3101215.51875,75.93604714746456,105.75,106.961,108.006,0,28727,1000,"1.0000","OVERLOADED",1
"pd-default","3","777",0.23204355354472697,1927.8412792484999,1000,110.36333400000001,165.0907,173.05405,206.49882,942509.551459,2299074.9379000003,2789683.06695,3411609.2094299993,77.26607764357264,108.947,110.512,118.608,0,78780,1000,"1.0000","OVERLOADED",1
"pd-default","5","42",0.2409164473607057,1822.3346500475607,1000,120.396447,162.2676,172.4263,206.79882999999998,1152254.552841,2502483.5182000003,2899164.4835,3697493.1340599996,81.38454499650082,107.03,108.886,110.702,0,114632,1000,"1.0000","OVERLOADED",1
"pd-default","5","123",0.21215338877636988,1721.3478897478885,1000,123.087165,166.4865,176.93675,217.11423999999997,1333006.0085739999,2878339.8038999997,3345646.9686999996,3937569.4456199994,83.1293114759029,107.803,110.361,117.329,0,163307,1000,"1.0000","OVERLOADED",1
"pd-default","5","777",0.201336643088423,1672.7251657795703,1000,123.682045,168.8184,176.6453,207.6677,1456934.406363,3155239.8364,3501202.3599499986,4344585.07012,83.63627508778333,109.25,110.413,118.536,0,275795,1000,"1.0000","OVERLOADED",1
"pd-champ","1","42",0.43733738806435923,3308.097412036501,1000,86.363703,106.67229999999999,123.57329999999993,150.28550999999996,308894.069479,758652.5467000001,940118.5101999994,1428270.6769099995,40.885960733961404,52.175,53.109,55.586,0,0,1000,"1.0000","OVERLOADED",1
"pd-champ","1","123",0.38027491705894134,3085.4346931665473,1000,86.510256,106.0179,117.82594999999996,147.48563000000001,346850.20752399997,863734.0620000002,1075069.4174,1501725.3871199996,42.79850865772718,56.014,56.789,57.805,0,0,1000,"1.0000","OVERLOADED",1
"pd-champ","1","777",0.37416400732279975,3108.59236340256,1000,89.036274,110.136,121.72359999999999,147.45393,374343.67008899996,898822.4962000003,1183118.7111499994,1634330.87534,45.10780270060518,60.509,61.604,62.623,0,0,1000,"1.0000","OVERLOADED",1
"pd-champ","2","42",0.4720402646909328,3570.596113249066,1000,88.906675,112.7439,124.42329999999998,155.58913999999993,367632.115188,898539.4009000001,1119645.3406999998,1596769.5323799998,48.65319533114193,63.039,67.234,69.045,0,0,1000,"1.0000","OVERLOADED",1
